District,Count,Avg_Price,Min_Price,Max_Price,Median_Price
Mê Linh,264,3865.66,3.5,10000.0,3600.0
Phan Rang - Tháp Chàm,72,3831.5,5.99,14000.0,4960.0
Vân Đồn,1,3800.0,3800.0,3800.0,3800.0
Yên Thủy,2,3800.0,1500.0,6100.0,3800.0
Nghi Sơn,1,3777.0,3777.0,3777.0,3777.0
Vĩnh Cửu,254,3595.31,2.28,500000.0,1650.0
Mộc Châu,11,3580.73,200.0,8768.0,3000.0
Cẩm Mỹ,3,3566.67,1700.0,4500.0,4500.0
Tân Châu,4,3500.0,3500.0,3500.0,3500.0
Khánh Vĩnh,2,3500.0,3500.0,3500.0,3500.0
Vĩnh Thạnh,1,3400.0,3400.0,3400.0,3400.0
Bình Lục,1,3200.0,3200.0,3200.0,3200.0
Buôn Ma Thuột,33,3166.2,5.0,16500.0,2450.0
Định Quán,2,3125.0,760.0,5490.0,3125.0
Long Điền,4,3112.5,0.0,10500.0,975.0
Ninh Hòa,5,3106.0,15.0,8500.0,2900.0
Hoằng Hóa,1,3100.0,3100.0,3100.0,3100.0
Nam Định,8,3056.5,4.5,7890.0,2465.0
Bảo Lộc,22,3035.97,4.5,8500.0,3899.0
Cần Đước,18,3034.67,1000.0,13000.0,2325.0
Việt Yên,5,3025.0,25.0,5200.0,2700.0
Đồ Sơn,13,3023.85,770.0,4650.0,3835.0
Rạch Giá,17,2954.29,3.0,9900.0,2500.0
An Lão,2,2907.5,15.0,5800.0,2907.5
Chương Mỹ,37,2873.55,0.0,8800.0,2540.0
Thủ Dầu Một,361,2870.46,2.5,36580.0,2500.0
Kiến Xương,6,2866.67,20.0,4860.0,3460.0
La Gi,45,2809.11,650.0,20000.0,1900.0
Mỹ Đức,1,2800.0,2800.0,2800.0,2800.0
Châu Đốc,2,2800.0,2800.0,2800.0,2800.0
Đồng Xoài,2,2753.0,6.0,5500.0,2753.0
Hương Thủy,21,2695.73,6.5,14700.0,25.0
Thái Nguyên,10,2583.55,1.5,12000.0,1260.0
Diên Khánh,32,2531.6,14.3,17900.0,2000.0
Mường La,1,2500.0,2500.0,2500.0,2500.0
Hương Sơn,1,2500.0,2500.0,2500.0,2500.0
Đức Trọng,13,2423.27,2.46,4600.0,2200.0
Cần Giuộc,68,2376.09,54.0,27000.0,1400.0
Quốc Oai,20,2366.45,0.0,7200.0,2947.5
Tây Ninh,17,2320.41,9.0,13500.0,990.0
Uông Bí,2,2261.0,1600.0,2922.0,2261.0
Lệ Thủy,1,2200.0,2200.0,2200.0,2200.0
Phổ Yên,4,2165.0,0.0,3000.0,2830.0
Cái Răng,28,2131.07,2.7,10500.0,586.0
Châu Phú,1,2094.0,2094.0,2094.0,2094.0
Thủ Thừa,8,2056.25,1900.0,2300.0,1975.0
Kiến Thụy,13,2045.46,795.0,7500.0,1450.0
Dương Kinh,33,2003.59,20.0,6071.0,2000.0
Bảo Lâm,1,2000.0,2000.0,2000.0,2000.0
Phù Cát,1,2000.0,2000.0,2000.0,2000.0
Cẩm Phả,34,1955.88,1250.0,2000.0,2000.0
Mai Sơn,1,1950.0,1950.0,1950.0,1950.0
Vĩnh Long,14,1919.46,7.5,12000.0,37.5
Cam Lâm,2,1900.0,1900.0,1900.0,1900.0
Thạch Thất,5,1884.4,32.0,5600.0,1650.0
Huế,267,1876.14,4.0,134000.0,18.0
Cẩm Thủy,1,1800.0,1800.0,1800.0,1800.0
Sơn La,5,1750.0,1000.0,2800.0,1650.0
Phú Mỹ,13,1702.31,1000.0,6950.0,1000.0
Sa Pa,7,1700.0,120.0,5800.0,120.0
Tân An,9,1659.11,10.0,4700.0,800.0
Hòa Vang,4,1622.95,6.8,4200.0,1142.5
Di Linh,2,1600.0,1300.0,1900.0,1600.0
Trà Vinh,4,1600.0,1300.0,2500.0,1300.0
Bình Long,1,1600.0,1600.0,1600.0,1600.0
Ninh Hải,1,1600.0,1600.0,1600.0,1600.0
Hàm Tân,1,1600.0,1600.0,1600.0,1600.0
Bàu Bàng,11,1507.64,14.0,3500.0,1700.0
Đô Lương,1,1500.0,1500.0,1500.0,1500.0
Gò Dầu,4,1462.5,900.0,2200.0,1375.0
Trảng Bàng,133,1422.27,6.7,1900.0,1700.0
Vũ Thư,1,1300.0,1300.0,1300.0,1300.0
Phong Điền,1,1250.0,1250.0,1250.0,1250.0
Tuy Phong,1,1200.0,1200.0,1200.0,1200.0
Mỹ Tho,8,1186.88,10.0,2260.0,1100.0
Phú Vang,11,1168.62,7.8,3950.0,300.0
Plei Ku,1,1120.0,1120.0,1120.0,1120.0
Phú Giáo,5,1054.0,355.0,2600.0,750.0
Điện Bàn,2,1000.0,0.0,2000.0,1000.0
Điện Biên Phủ,1,1000.0,1000.0,1000.0,1000.0
Vị Thủy,1,1000.0,1000.0,1000.0,1000.0
Giao Thủy,1,1000.0,1000.0,1000.0,1000.0
Thanh Ba,1,1000.0,1000.0,1000.0,1000.0
Trấn Yên,1,1000.0,1000.0,1000.0,1000.0
Đạ Huoai,1,990.0,990.0,990.0,990.0
Quỳnh Phụ,3,893.33,20.0,1660.0,1000.0
Tư Nghĩa,1,850.0,850.0,850.0,850.0
Bình Minh,1,798.0,798.0,798.0,798.0
Đồng Phú,2,767.5,485.0,1050.0,767.5
Ninh Kiều,131,740.24,1.2,41000.0,6.0
Đông Triều,3,669.67,9.0,1000.0,1000.0
Bình Thủy,20,601.81,2.6,5200.0,5.75
Dầu Tiếng,1,600.0,600.0,600.0,600.0
Vị Thanh,1,600.0,600.0,600.0,600.0
Bến Tre,5,592.5,2.5,2800.0,50.0
Sóc Trăng,3,566.67,50.0,1600.0,50.0
Phú Riềng,1,390.0,390.0,390.0,390.0
Đông Hà,3,257.67,23.0,400.0,350.0
Lạc Thủy,1,195.0,195.0,195.0,195.0
Bù Đăng,1,140.0,140.0,140.0,140.0
Chí Linh,1,130.0,130.0,130.0,130.0
Cà Mau,5,40.5,2.5,50.0,50.0
Tiên Lữ,1,40.0,40.0,40.0,40.0
Long Xuyên,2,27.0,4.0,50.0,27.0
Hòa Thành,1,20.0,20.0,20.0,20.0
Sông Công,1,17.0,17.0,17.0,17.0
Tân Hiệp,1,12.0,12.0,12.0,12.0
Quế Võ,3,6.67,5.0,9.0,6.0
Vĩnh Bảo,1,5.0,5.0,5.0,5.0
Vĩnh Thuận,1,4.12,4.12,4.12,4.12
Thoại Sơn,1,4.0,4.0,4.0,4.0
Châu Thành A,1,4.0,4.0,4.0,4.0
Hưng Yên,1,3.5,3.5,3.5,3.5
Tam Đảo,1,3.35,3.35,3.35,3.35
Tân Yên,1,0.0,0.0,0.0,0.0
